area,bedrooms,age,proximity,price
152,1,40,8.426176008995036,256003
229,3,41,5.682669192267887,409822
142,5,13,4.3611633652975605,257245
64,2,10,2.1013908159266013,128269
156,1,17,7.619550458387838,260930
121,3,11,3.1227183922931836,239358
238,3,22,4.342798016857412,440189
70,1,11,1.562880042076316,118619
152,5,12,8.21230224237567,267582
171,1,24,7.89929671574479,302348
260,2,44,7.602542470380812,440622
264,1,18,3.69499159442698,487330
124,3,45,2.5613206683936154,186352
252,1,35,6.737979380232067,449390
137,5,44,5.465497457018975,233906
166,4,7,2.6042722021417744,323003
149,1,28,7.173201439448773,224946
153,5,31,9.920137886391734,287922
201,5,43,7.724976289678339,307766
180,3,17,7.659877480170506,329564
199,5,5,9.552814776375325,396063
102,5,17,2.82642730817412,130131
51,5,18,6.0899496842929635,94433
137,5,21,9.816820435304951,224510
285,2,36,2.487646998731571,536682
207,2,31,7.302267635000689,350023
87,3,40,6.272291313747117,139146
179,1,2,6.278311829698363,336870
241,5,27,7.279035647680677,446239
237,1,9,9.366552305881157,405190
70,1,34,8.043237458662041,108429
210,3,28,1.50522493074589,399672
253,5,14,8.6745521788814,519423
107,5,32,3.0298719693315936,230402
71,4,6,4.392227482627348,98471
285,1,11,5.15559532251144,525123
138,1,48,5.328154006777627,185620
98,2,29,4.916623593298211,151452
268,4,20,9.43617964794278,492562
108,2,30,7.354171068976221,163827
219,2,23,6.680535813610357,412679
269,2,19,1.4485782500464741,551628
237,3,36,9.135219972343371,426673
257,3,3,9.184511728075567,468858
64,2,27,8.02191757087092,55249
239,4,43,1.0632628343225723,449738
239,1,19,1.5155222596986102,464944
224,4,23,3.027013320416408,426201
239,5,49,2.18214467330416,416179
100,3,48,4.589524267333565,157693
157,1,31,9.303607522790108,233635
104,1,40,5.2485439077729845,138307
293,5,35,1.1206236378894905,569304
113,5,33,3.544711206208858,195478
298,2,35,1.4013541753566539,556663
180,3,1,1.3265886035215195,341764
278,3,14,3.48147867785997,537347
100,4,33,3.480511048110509,183656
184,2,35,8.084139423414436,307872
70,2,5,9.773511875030007,115094
122,2,38,4.340863845009984,179724
216,2,41,4.859981909749347,351138
67,3,11,8.603104926574193,90067
181,3,2,3.4132511808596204,345649
138,2,44,2.4074362396310316,219756
109,4,17,8.677806610632853,181845
63,1,39,1.4185052779605893,74845
291,1,20,6.577294961794741,509112
299,4,14,6.057935627201261,562530
58,2,32,4.113284027515249,80234
139,3,34,3.836705689876231,253246
102,1,25,7.946719535634592,157494
179,5,7,1.7778214968629182,375600
133,5,35,3.1310587838024686,236982
141,4,47,7.592038586542808,225138
160,2,29,5.934885253537818,270478
237,1,22,2.1518938768022773,448502
248,2,41,8.939220528538542,401517
221,1,43,4.541030619072324,382172
57,4,13,8.450815377899556,86319
224,4,13,8.08941713974938,421375
84,5,1,6.619829018245552,133150
255,2,36,5.450330181655836,458673
130,5,4,9.815957563435813,203042
213,2,37,2.304685651418353,390950
